ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-08,106286,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-09,106286,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-10,106286,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-09,106287,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-08,106287,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-10,106287,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-09,106288,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-10,106288,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-08,106288,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-09,106289,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-10,106289,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-08,106289,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-09,106290,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-08,106290,BATOM EXTREMO CONFORTO MATTE UNA,LANÃ§AMENTOS
2024-11,119423,BATOM GEL LIP STAIN UNA,LISTA_01
2024-10,119423,BATOM GEL LIP STAIN UNA,LISTA_01
2024-11,119424,BATOM GEL LIP STAIN UNA,LISTA_01
2024-10,119424,BATOM GEL LIP STAIN UNA,LISTA_01
2024-11,119426,BATOM GEL LIP STAIN UNA,LISTA_01
2024-11,119427,BATOM GEL LIP STAIN UNA,LISTA_01
2024-10,69344,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-09,69344,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-10,80632,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-09,80632,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-09,80637,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-08,80637,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-09,87472,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-08,87472,BATOM LÍQUIDO MATTE FACES,LISTA_30
2024-09,12179,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-08,12179,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-10,12180,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-11,12180,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-09,12180,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-08,12180,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-11,12189,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-10,12189,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-09,12189,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-08,12189,BATOM MATTE FACES COLEÇÃO DO AMOR,LISTA_30
2024-11,54355,BATOM MATTE INTRANSFERÍVEL UNA,LISTA_30
2024-10,54355,BATOM MATTE INTRANSFERÍVEL UNA,LISTA_30
2024-09,54355,BATOM MATTE INTRANSFERÍVEL UNA,LISTA_30
2024-10,54394,BATOM MATTE INTRANSFERÍVEL UNA,LISTA_30
2024-11,54394,BATOM MATTE INTRANSFERÍVEL UNA,LISTA_30
2023-09,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-06,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-03,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-04,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-05,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-07,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
2023-02,118786,BATOM ULTRA CARE 24H UNA - 8 ML,MAQUIAGEM
